race,sex,first_arrest_date,second_arrest_date,first_charge,second_charge,first_age,second_age,first_city,second_city,first_arrest_time,second_arrest_time,days_between_arrests
B,M,2017-05-03,2021-07-31,GIVING FALSE INFORMATION,DUI 1ST,45,49,CHARLESTON,CHARLESTON,1322,18,1550
B,M,2015-07-25,2016-06-28,TRESPASSING - POSTED NOTICE,PROPERTY CRIME ENHANCEMENT,21,22,CHARLESTON,CHARLESTON,1630,448,339
B,M,2017-03-16,2018-01-26,BURGLARY 2ND DEGREE,UNLAWFUL CARRYING OF HANDGUN,25,26,CHARLESTON,CHARLESTON,515,1126,316
B,M,2015-01-29,2015-04-07,OPEN CONTAINER ALCOHOL,PROPERTY CRIME ENHANCEMENT,55,55,CHARLESTON,CHARLESTON,1305,1508,68
B,M,2015-01-09,2015-06-09,"GRAND LARCENY, M",GIVING FALSE INFORMATION,57,58,CHARLESTON,N CHARLESTON,1345,942,151
W,F,2019-08-24,2021-07-14,DUI 1ST,OBSTRUCTION OF JUSTICE,27,29,CHARLESTON,CHARLESTON COUNTY,2016,1453,690
B,M,2015-11-05,2016-01-26,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,28,29,CHARLESTON,CHARLESTON,1452,2315,82
W,M,2016-05-04,2018-08-24,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,60,62,CHARLESTON,CHARLESTON,1904,1831,842
W,M,2021-04-16,2024-01-05,DUI 1ST,DUI 1ST,34,37,CHARLESTON,CHARLESTON,139,2348,994
B,M,2015-04-11,2015-07-03,DUI 1ST,OUT OF AGENCY WARRANT,28,28,CHARLESTON,CHARLESTON,322,2045,83
W,M,2015-03-06,2015-09-22,DUS 3RD +,PUBLIC INTOXICATION,34,35,NORTH CHARLESTON,CHARLESTON,925,1751,200
W,M,2016-01-29,2018-06-22,PROPERTY CRIME ENHANCEMENT,FORGERY,32,34,CHARLESTON,CHARLESTON,1406,1225,875
W,M,2015-01-05,2019-10-21,PUBLIC INTOXICATION,"DUI 3RD, M",57,62,CHARLESTON,CHARLESTON,1,27,1750
B,M,2015-08-15,2023-10-13,SIMPLE POSS MARIJUANA 1ST,OUT OF AGENCY WARRANT,35,43,CHARLESTON,CHARLESTON,2241,235,2981
B,M,2015-01-22,2024-08-30,OUT OF AGENCY WARRANT,DUI 1ST,22,33,CHARLESTON,CHARLESTON,1241,2342,3508
B,M,2017-02-08,2018-01-19,TRESPASSING,LOITERING,53,54,CHARLESTON,CHARLESTON,943,355,345
W,M,2015-01-31,2015-04-28,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,23,24,CHARLESTON,CHARLESTON,2253,1130,87
B,M,2015-02-21,2015-03-04,PEDDLERS PERMIT REQUIRED,PEDDLERS PERMIT REQUIRED,57,57,CHARLESTON,CHARLESTON,1557,1540,11
B,M,2016-03-23,2018-11-28,OPEN LIQUOR CONTAINER IN VEH,PWID/MANUF COCAINE,36,38,CHARLESTON COUNTY,CHARLESTON,859,1125,980
B,M,2015-10-06,2016-08-03,OPEN CONTAINER ALCOHOL,TRESPASSING,44,45,CHARLESTON,CHARLESTON,1124,1047,302
B,M,2017-12-05,2018-07-13,ASSAULT & BATTERY 2ND DEGREE,PUBLIC URINATION / DEFECATION,56,57,CHARLESTON,CHARLESTON,1846,1241,220
B,M,2015-06-09,2016-04-20,OPEN CONTAINER ALCOHOL,PUBLIC URINATION / DEFECATION,64,65,CHARLESTON,CHARLESTON,1519,1506,316
B,F,2016-09-15,2017-06-06,OUT OF AGENCY WARRANT,BREACH OF TRUST W/ FRAUDULENT INTENT,34,34,CHARLESTON COUNTY,CHARLESTON,2119,939,264
B,M,2015-06-03,2015-12-06,SIMPLE POSS MARIJUANA 1ST,DUS 2ND,29,30,CHARLESTON,CHARLESTON,1217,28,186
B,M,2020-02-25,2020-04-12,DAMAGE TO PERSONAL PROPERTY,PROPERTY CRIME ENHANCEMENT,31,31,CHARLESTON,CHARLESTON,2000,1904,47
B,M,2019-09-26,2020-07-01,SIMPLE POSS MARIJUANA 1ST,POSS MARIJUANA 2ND +,32,33,CHARLESTON,CHARLESTON,336,1210,279
B,M,2023-11-21,2023-12-28,DV 3RD,OPEN CONTAINER ALCOHOL,68,68,CHARLESTON,CHARLESTON,2042,835,37
B,M,2017-04-24,2018-07-14,FINANCIAL IDENTITY FRAUD,OUT OF AGENCY WARRANT,33,34,CHARLESTON,CHARLESTON,1353,1403,446
B,F,2015-03-11,2015-06-20,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,39,39,CHARLESTON,CHARLESTON,1451,1455,101
B,M,2018-03-14,2018-04-16,DAMAGE TO REAL PROPERTY,TRESPASSING,35,35,CHARLESTON,CHARLESTON,452,22,33
B,M,2017-07-26,2021-08-10,POSS BLACKJACK / SLINGSHOT,PWID/MANUF MARIJUANA,29,33,CHARLESTON,CHARLESTON,35,57,1476
B,M,2021-06-29,2021-07-28,POSS DRUG PARAPHERNALIA,OPEN CONTAINER ALCOHOL,46,46,CHARLESTON,CHARLESTON,1125,2122,29
B,M,2015-04-13,2016-09-28,OUT OF AGENCY WARRANT,SIMPLE POSS MARIJUANA 1ST,28,29,CHARLESTON,CHARLESTON COUNTY,1932,2354,534
B,M,2015-05-30,2017-07-05,DUS 1ST,OUT OF AGENCY WARRANT,22,24,CHARLESTON,CHARLESTON,255,2042,767
B,M,2017-06-09,2019-01-08,PUBLIC INTOXICATION,OUT OF AGENCY WARRANT,59,61,CHARLESTON,CHARLESTON,241,1438,578
B,M,2019-08-15,2022-07-28,ASSAULT & BATTERY 2ND DEGREE,GRAND LARCENY,33,36,SUMMERVILLE,LADSON,1619,1330,1078
B,M,2015-12-27,2016-05-08,PROPERTY CRIME ENHANCEMENT,TRESPASSING,26,26,CHARLESTON,CHARLESTON,2019,1140,133
B,M,2016-03-28,2017-10-10,PUBLIC URINATION / DEFECATION,RECEIVING STOLEN GOODS,53,54,CHARLESTON,CHARLESTON,1125,1030,561
B,M,2017-01-13,2017-04-24,PEDDLERS PERMIT REQUIRED,OPEN CONTAINER ALCOHOL,46,46,CHARLESTON,CHARLESTON,1820,2139,101
B,M,2015-04-08,2015-07-29,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,48,48,CHARLESTON,CHARLESTON,1523,1109,112
B,M,2015-12-07,2016-05-26,DV 2ND,DUS 1ST,27,27,CHARLESTON,CHARLESTON,2226,1212,171
B,M,2017-03-04,2020-07-06,OPEN CONTAINER ALCOHOL,SALE OF LIQUOR FROM VEHICLE,57,60,CHARLESTON,CHARLESTON,1228,1255,1220
B,M,2015-10-13,2016-01-26,TRESPASSING,SIMPLE POSS MARIJUANA 1ST,36,36,CHARLESTON,CHARLESTON,1700,1949,105
W,M,2015-10-03,2017-05-08,SIMPLE POSS MARIJUANA 1ST,OUT OF AGENCY WARRANT,27,29,CHARLESTON,CHARLESTON COUNTY,226,2231,583
B,M,2016-08-02,2017-03-23,OUT OF AGENCY WARRANT,LARCENY OF BICYCLE,57,57,CHARLESTON,CHARLESTON,2136,758,233
W,F,2017-07-05,2018-06-06,TRESPASSING,DUI 1ST,54,55,CHARLESTON,CHARLESTON,2052,1715,336
B,M,2015-01-05,2015-03-19,LOITERING,TRESPASSING,20,20,CHARLESTON,CHARLESTON,2245,1611,73
W,M,2015-04-25,2016-02-03,OUT OF AGENCY WARRANT,ASSAULT & BATTERY 3RD DEGREE,24,25,CHARLESTON,CHARLESTON COUNTY,100,1851,284
B,M,2022-11-04,2022-11-17,BREAKING INTO MOTOR VEHICLE,OPEN CONTAINER BEER/WINE IN VEH,30,30,CHARLESTON,CHARLESTON,1217,48,13
B,M,2018-07-09,2022-07-09,POSS COCAINE,OPEN CONTAINER ALCOHOL,27,31,CHARLESTON,CHARLESTON,1815,902,1461
W,M,2015-08-11,2016-04-17,PROPERTY CRIME ENHANCEMENT,POSS COCAINE BASE,37,37,NORTH CHARLESTON,CHARLESTON COUNTY,1756,1908,250
B,M,2015-07-07,2015-08-13,PUBLIC INTOXICATION,OPEN CONTAINER ALCOHOL,62,62,CHARLESTON,CHARLESTON,1355,1554,37
B,M,2019-10-11,2019-11-20,OPEN CONTAINER BEER/WINE IN VEH,OPEN CONTAINER ALCOHOL,60,60,CHARLESTON COUNTY,CHARLESTON,527,128,40
W,M,2017-06-02,2018-11-23,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,27,28,CHARLESTON,CHARLESTON,2319,1528,539
W,M,2015-09-07,2016-02-20,POSS COCAINE BASE,POSS COCAINE,26,27,CHARLESTON,CHARLESTON,29,2109,166
B,M,2015-04-13,2015-09-02,PUBLIC DISORDERLY CONDUCT,PUBLIC INTOXICATION,56,57,CHARLESTON,CHARLESTON,2230,1531,142
B,M,2015-09-25,2015-11-07,TRESPASSING,TRESPASSING,29,29,CHARLESTON,CHARLESTON,4,1422,43
B,M,2019-01-10,2019-10-31,DISTRIBUTION OF COCAINE BASE,DUS 1ST,32,33,CHARLESTON,CHARLESTON,1419,201,294
B,M,2015-09-01,2015-10-30,PUBLIC DISORDERLY CONDUCT,DISORDERLY CONDUCT,43,43,CHARLESTON,CHARLESTON,1930,1314,59
B,M,2017-12-14,2018-08-12,PROPERTY CRIME ENHANCEMENT,OUT OF AGENCY WARRANT,39,40,CHARLESTON,CHARLESTON,1421,1936,241
B,M,2015-06-16,2015-10-29,OUT OF AGENCY WARRANT,OPEN CONTAINER ALCOHOL,41,41,CHARLESTON,CHARLESTON,627,2,135
B,M,2015-02-01,2015-02-09,ARMED ROBBERY,FORGERY,35,35,CHARLESTON,NORTH CHARLESTON,300,1610,8
B,M,2024-01-11,2024-01-11,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,30,30, , ,1834,1834,0
B,M,2017-03-19,2019-03-25,HABITUAL OFFENDER,HABITUAL OFFENDER,31,33,CHARLESTON,CHARLESTON,18,1755,736
B,M,2015-07-19,2017-10-14,ASSAULT & BATTERY 2ND DEGREE,LOITERING,38,40,CHARLESTON,CHARLESTON,156,2105,818
B,M,2015-01-22,2015-02-06,PEDDLERS PERMIT REQUIRED,PEDDLERS PERMIT REQUIRED,60,60,CHARLESTON,CHARLESTON,1315,1619,15
B,M,2017-11-17,2018-02-27,OPEN CONTAINER BEER/WINE IN VEH,OPEN CONTAINER BEER/WINE IN VEH,59,59,CHARLESTON COUNTY,CHARLESTON,2329,116,102
B,M,2015-02-22,2015-03-14,PUBLIC URINATION / DEFECATION,TRESPASSING - POSTED NOTICE,38,38,CHARLESTON,CHARLESTON,1020,1748,20
W,M,2015-01-18,2015-10-06,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,62,63,CHARLESTON,CHARLESTON,1005,121,261
B,M,2015-02-10,2016-10-04,ASSAULT & BATTERY 2ND DEGREE,OUT OF AGENCY WARRANT,44,46,CHARLESTON,CHARLESTON,857,253,602
B,M,2015-08-23,2015-11-18,POSS STOLEN VEHICLE,TRESPASSING,24,25,CHARLESTON,CHARLESTON,2357,1227,87
B,M,2015-07-27,2015-08-28,TRESPASSING - POSTED NOTICE,TRESPASSING,52,52,CHARLESTON,CHARLESTON,1342,1218,32
B,M,2023-05-05,2024-11-03,DUI 1ST,PUBLIC INTOXICATION,57,58,CHARLESTON,CHARLESTON,2259,129,548
B,M,2015-10-07,2015-10-29,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,66,66,CHARLESTON,CHARLESTON,57,245,22
B,M,2018-03-09,2018-07-07,SIMPLE POSS MARIJUANA 1ST,OUT OF AGENCY WARRANT,37,38,CHARLESTON,CHARLESTON,2325,1715,120
B,M,2015-10-27,2016-06-11,OPEN CONTAINER ALCOHOL,PROPERTY CRIME ENHANCEMENT,59,59,CHARLESTON,CHARLESTON,348,1210,228
B,M,2015-03-03,2022-08-04,PWID/MANUF MARIJUANA,DISTRIBUTION OF COCAINE BASE,28,36,CHARLESTON,CHARLESTON,2033,1528,2711
W,M,2021-07-15,2021-07-26,OPEN CONTAINER ALCOHOL,PUBLIC DISORDERLY CONDUCT,36,36,CHARLESTON,CHARLESTON,2034,2038,11
B,M,2020-11-04,2023-09-18,OUT OF AGENCY WARRANT,PWID/MANUF MARIJUANA,30,33,CHARLESTON,CHARLESTON,2106,2123,1048
B,F,2015-02-07,2016-01-10,PUBLIC DISORDERLY CONDUCT,TRESPASSING,72,73,CHARLESTON,CHARLESTON,1422,1356,337
B,M,2015-05-29,2017-11-07,DISORDERLY CONDUCT,UNLAWFUL CARRYING OF HANDGUN,26,29,NORTH CHARLESTON,CHARLESTON,1430,1936,893
B,M,2017-08-01,2019-03-06,DV 3RD,ASSAULT ON POLICE WHILE RESISTING ARREST,27,29,CHARLESTON,CHARLESTON,1304,1417,582
B,M,2015-01-22,2016-01-19,DUS 3RD +,DUS 3RD +,24,25,CHARLESTON,CHARLESTON,1412,1320,362
B,M,2015-01-12,2020-01-16,PWID/MANUF/DISTR/PURCH COCAINE BASE,DISTRIBUTION OF COCAINE BASE,28,33,CHARLESTON,NORTH CHARLESTON,115,1359,1830
B,F,2017-08-29,2018-07-07,OUT OF AGENCY WARRANT,SHOPLIFTING,23,24,CHARLESTON,CHARLESTON,2352,1810,312
B,M,2015-02-11,2016-04-25,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,26,27,CHARLESTON,CHARLESTON,145,136,439
B,M,2018-02-28,2022-02-26,OUT OF AGENCY WARRANT,SIMPLE POSS MARIJUANA 1ST,30,34,CHARLESTON,CHARLESTON,944,1324,1459
B,M,2021-11-04,2022-08-25,OUT OF AGENCY WARRANT,PWID/MANUF MARIJUANA,32,33,CHARLESTON,CHARLESTON,113,1211,294
B,M,2015-01-06,2015-10-05,PROPERTY CRIME ENHANCEMENT,SHOPLIFTING,61,62,CHARLESTON,CHARLESTON,2347,2349,272
B,F,2020-12-23,2021-01-25,STRONG ARM ROBBERY,PROPERTY CRIME ENHANCEMENT,24,24,CHARLESTON,CHARLESTON,2105,1703,33
B,M,2016-05-17,2016-12-29,ARMED ROBBERY,DUS 1ST,25,26,CHARLESTON,NORTH CHARLESTON,207,1738,226
B,F,2022-09-05,2023-09-17,TRESPASSING,DV 3RD,42,43,CHARLESTON,CHARLESTON,1918,216,377
B,M,2015-02-01,2015-02-12,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,69,69,CHARLESTON,CHARLESTON,528,1425,11
W,M,2015-03-25,2015-05-15,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,46,47,CHARLESTON,CHARLESTON,1509,1348,51
B,F,2018-09-25,2018-12-12,SIMPLE ASSAULT,DISORDERLY CONDUCT,41,41,CHARLESTON,CHARLESTON,1649,2206,78
B,M,2016-11-22,2017-01-06,OPEN CONTAINER ALCOHOL,SIMPLE POSS MARIJUANA 1ST,35,35,CHARLESTON,CHARLESTON,2220,2050,45
B,M,2017-08-19,2017-08-20,PROPERTY CRIME ENHANCEMENT,PROPERTY CRIME ENHANCEMENT,28,28,CHARLESTON,NORTH CHARLESTON,1902,1507,1
B,M,2015-08-19,2015-09-11,SIMPLE POSS MARIJUANA 1ST,DISTRIBUTION / PURCHASING COCAINE,27,27,CHARLESTON,N CHARLESTON,1830,1515,23
W,M,2016-06-28,2016-11-09,DV 2ND,UNLAWFUL CONDUCT TOWARDS A CHILD,36,36,CHARLESTON,CHARLESTON,5,620,134
W,M,2015-01-30,2017-04-21,PUBLIC INTOXICATION,PUBLIC INTOXICATION,58,60,CHARLESTON,CHARLESTON,2145,1945,812
B,M,2015-02-25,2015-04-11,DISORDERLY CONDUCT,PUBLIC INTOXICATION,49,49,CHARLESTON,CHARLESTON,2042,1926,45
B,M,2015-03-10,2016-11-22,TRESPASSING,PUBLIC URINATION / DEFECATION,32,34,CHARLESTON,CHARLESTON,1642,2220,623
B,M,2016-03-22,2017-03-10,TRESPASSING AFTER WARNING,PROPERTY CRIME ENHANCEMENT,56,57,CHARLESTON,CHARLESTON,202,322,353
W,M,2021-01-25,2021-07-23,SIMPLE POSS MARIJUANA 1ST,POSS DRUG PARAPHERNALIA,40,40,CHARLESTON,CHARLESTON,1939,1826,179
B,M,2015-03-20,2015-10-09,PUBLIC INTOXICATION,POSS COCAINE BASE,57,57,NORTH CHARLESTON,CHARLESTON,1242,2132,203
B,M,2017-09-04,2018-06-08,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,50,51,CHARLESTON,CHARLESTON,1902,1027,277
W,M,2015-01-14,2015-02-23,OPEN CONTAINER ALCOHOL,TRESPASSING,59,59,CHARLESTON,CHARLESTON,2121,1430,40
B,M,2017-03-27,2017-06-26,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,56,56,CHARLESTON,CHARLESTON,50,1222,91
B,M,2015-07-15,2015-07-31,PUBLIC URINATION / DEFECATION,PUBLIC INTOXICATION,51,51,CHARLESTON,CHARLESTON,1055,329,16
B,M,2016-10-17,2017-11-18,BREAKING INTO MOTOR VEHICLE,PROPERTY CRIME ENHANCEMENT,49,50,N CHARLESTON,CHARLESTON,1124,1749,397
B,M,2016-06-08,2019-09-10,PROHIBITED ACTIVITY IN PUBLIC PARK,PROHIBITED AREAS FOR SOLICITORS,47,50,CHARLESTON,CHARLESTON,759,1140,1189
B,M,2020-12-23,2024-01-12,DUI 2ND,SIMPLE POSS MARIJUANA 1ST,32,35,CHARLESTON,CHARLESTON,2122,2319,1115
B,M,2015-09-20,2017-05-09,ARMED ROBBERY,POSS MDMA / ECSTASY,25,27,NORTH CHARLESTON,CHARLESTON,918,125,597
B,M,2016-11-17,2021-05-25,DV 3RD,SIMPLE POSS MARIJUANA 1ST,29,34,CHARLESTON,CHARLESTON COUNTY,1555,230,1650
W,F,2015-11-23,2022-10-30,PUBLIC INTOXICATION,DISORDERLY CONDUCT,24,31,CHARLESTON,CHARLESTON,444,2258,2533
B,M,2015-04-02,2015-10-17,POSS DRUG PARAPHERNALIA,SIMPLE ASSAULT,55,56,CHARLESTON,CHARLESTON,1014,1645,198
B,M,2017-01-31,2022-02-05,OPEN CONTAINER ALCOHOL,OUT OF AGENCY WARRANT,47,52,CHARLESTON,CHARLESTON,2327,2131,1831
B,M,2022-12-28,2024-08-24,PROPERTY CRIME ENHANCEMENT,PROPERTY CRIME ENHANCEMENT,57,59, ,CHARLESTON,2123,1403,605
B,M,2015-05-26,2015-09-24,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,22,23,CHARLESTON,CHARLESTON,2300,41,121
B,M,2015-11-04,2017-05-12,POSS COCAINE BASE,OUT OF AGENCY WARRANT,51,52,CHARLESTON,CHARLESTON,2335,238,555
W,M,2015-12-24,2023-07-31,SIMPLE POSS MARIJUANA 1ST,PWID/MANUF COCAINE,22,30,CHARLESTON,CHARLESTON,1342,2210,2776
B,M,2015-11-15,2018-01-22,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,30,32,CHARLESTON,CHARLESTON,2225,29,799
B,F,2016-03-17,2019-03-07,POSS COCAINE BASE,POSS COCAINE BASE,54,56,CHARLESTON,CHARLESTON,1731,1755,1085
B,M,2015-03-07,2015-05-18,BURGLARY 2ND DEGREE,CDV 1ST,26,27,CHARLESTON,CHARLESTON,820,126,72
B,M,2015-12-04,2016-06-07,DUS 1ST,OUT OF AGENCY WARRANT,25,26,CHARLESTON,CHARLESTON,1203,1321,186
B,M,2018-09-08,2020-04-13,BURGLARY 1ST DEGREE,POSS STOLEN VEHICLE,43,44,CHARLESTON,CHARLESTON,52,316,583
B,M,2019-08-09,2020-04-09,ASSAULT & BATTERY 2ND DEGREE,POSS CONTROLLED SUSB SCHEDULE I-V,28,28,CHARLESTON,CHARLESTON,10,1103,244
B,M,2015-01-16,2015-02-17,RESISTING ARREST,SIMPLE POSS MARIJUANA 1ST,21,21,CHARLESTON,CHARLESTON,2224,1,32
